Component,Layer,Dependents,Imports,ImportingFrom,ImportedBy,Risk_Level,Abstraction_Layer,Circular_Deps,Recommendation
semantic_world_state,Intelligence,25,30,"event_dispatcher, graph_update_scheduler, topology_state, llm_bridge, world_snapshot, selector_memory, selector_engine, extraction_logic, behavior_tracker, anti_bot_engine, extractor_policy, selector_discovery, content_evaluator, job_runner, scraper, discovery, crawl_frontier, crawl_policy, proxy_manager, browser_pool, rate_limiter, seedlist_manager, gossip_substrate, heartbeat_manager, scrape_telemetry","job_runner, scraper, semantic_pipeline, extraction_logic, selector_engine, event_dispatcher, graph_update_scheduler, topology_state, anti_bot_engine, behavior_tracker, selector_discovery, content_evaluator, world_snapshot, selector_memory, llm_bridge, crawl_frontier, discovery, browser_pool, proxy_manager, rate_limiter, seedlist_manager, heartbeat_manager, gossip_substrate, scrape_telemetry, domain_health_alerts",CRITICAL,4,5,"SPLIT: Extract into 3-5 domain-specific modules"
config,Utility,23,1,"(self-import)","browser_pool, proxy_manager, rate_limiter, scraper, job_runner, semantic_world_state, event_dispatcher, llm_bridge, selector_engine, extraction_logic, behavior_tracker, anti_bot_engine, extractor_policy, content_evaluator, crawl_frontier, crawl_policy, discovery, seedlist_manager, heartbeat_manager, gossip_substrate, scrape_telemetry, observability, checkpoint_manager",HIGH,0,1,"FIX: Self-import bug, implement dependency injection"
models,Utility,21,0,"(none)","core_types, semantic_world_state, event_dispatcher, graph_update_scheduler, llm_bridge, semantic_pipeline, extraction_logic, selector_engine, behavior_tracker, anti_bot_engine, transaction_context, crawler_state, discovery, crawl_frontier, crawl_policy, browser_pool, proxy_manager, rate_limiter, seedlist_manager, heartbeat_manager, scrape_telemetry",LOW,0,0,"KEEP: Pure type definitions, stable foundation"
transaction_context,Utility,12,2,"config, logging_config","semantic_world_state, event_dispatcher, scraper, job_runner, semantic_pipeline, extraction_logic, behavior_tracker, anti_bot_engine, selector_engine, state_manager, distributed_state_store, persistent_queue",LOW,0,0,"KEEP: Utility foundation"
llm_bridge,Intelligence,7,3,"config, semantic_world_state, models","semantic_world_state, semantic_pipeline, extraction_logic, llm_router, policy_engine, strategy_selector, job_runner",MEDIUM,3,2,"DECOUPLE: Extract interface, reduce semantic_world_state import"
graph_update_scheduler,Intelligence,6,4,"semantic_world_state, event_dispatcher, models, transaction_context","semantic_world_state, event_dispatcher, topology_state, extraction_logic, domain_health_alerts, anomaly_detector",HIGH,3,3,"REFACTOR: Break bidirectional dependency with semantic_world_state"
topology_state,Intelligence,5,3,"semantic_world_state, models, config","semantic_world_state, graph_update_scheduler, event_dispatcher, gossip_substrate, heartbeat_manager",MEDIUM,3,2,"DECOUPLE: Remove semantic_world_state import"
selector_memory,Memory,6,4,"config, models, hash_utils, logging_config","semantic_world_state, scraper, selector_engine, extraction_logic, selector_discovery, behavior_tracker",MEDIUM,2,1,"ISOLATE: Extract selector learning separately"
html_utils,Utility,6,1,"logging_config","selector_engine, selector_discovery, dom_analyzer, xpath_builder, content_evaluator, cleaning_engine",LOW,0,0,"KEEP: Core utility"
scraper,Intelligence,1,21,"config, semantic_world_state, models, selector_engine, extraction_logic, selector_discovery, behavior_tracker, transaction_context, error_tracking, logging_config, retry_logic, anti_bot_engine, extractor_policy, content_evaluator, domain_health_alerts, recovery_handlers, failure_classification, crawl_frontier, job_runner, state_manager, benchmark_accuracy","job_runner, semantic_pipeline",CRITICAL,4,2,"REFACTOR: Extract to <5 imports, use strategy pattern"
event_dispatcher,Intelligence,0,6,"semantic_world_state, models, logging_config, transaction_context, error_tracking, config","semantic_world_state, graph_update_scheduler, topology_state, behavior_tracker, anti_bot_engine, domain_health_alerts",HIGH,3,3,"REFACTOR: Break bidirectional with semantic_world_state"
